Region,location_id,age_group_id,sex_id,year_id,cause_name,level,severity,metric_id,mean,lower,upper
AFR,44563,22,2,2021,Chagas disease,3,moderate and severe,3,0,0,0
AFR,44563,22,2,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
AFR,44563,22,2,2021,Zika virus,3,moderate and severe,3,0,0,0
AFR,44563,22,2,2021,Prostate cancer,3,moderate and severe,3,0,0,0
AFR,44563,22,2,2021,Testicular cancer,3,moderate and severe,3,0,0,0
AFR,44563,22,2,2021,Chagas disease,3,moderate and severe,1,0,0,0
AFR,44563,22,2,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
AFR,44563,22,2,2021,Zika virus,3,moderate and severe,1,0,0,0
AFR,44563,22,2,2021,Prostate cancer,3,moderate and severe,1,0,0,0
AFR,44563,22,2,2021,Testicular cancer,3,moderate and severe,1,0,0,0
AMR,44564,22,2,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
AMR,44564,22,2,2021,Ebola,3,moderate and severe,3,0,0,0
AMR,44564,22,2,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
AMR,44564,22,2,2021,Prostate cancer,3,moderate and severe,3,0,0,0
AMR,44564,22,2,2021,Testicular cancer,3,moderate and severe,3,0,0,0
AMR,44564,22,2,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
AMR,44564,22,2,2021,Ebola,3,moderate and severe,1,0,0,0
AMR,44564,22,2,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
AMR,44564,22,2,2021,Prostate cancer,3,moderate and severe,1,0,0,0
AMR,44564,22,2,2021,Testicular cancer,3,moderate and severe,1,0,0,0
EMR,44567,22,2,2021,Chagas disease,3,moderate and severe,3,0,0,0
EMR,44567,22,2,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
EMR,44567,22,2,2021,Ebola,3,moderate and severe,3,0,0,0
EMR,44567,22,2,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
